Age,Gender,Location,Income,Debt,Owns Home,Profession,Demographics,Platform,Total Time Spent,Video Category,Owns Car
25,Female,Barzil,49516,FALSE,TRUE,Students,Rural,TikTok,191,Vlogs,TRUE
53,Male,Mexico,76526,TRUE,TRUE,Teacher,Rural,YouTube,134,Gaming,TRUE
55,Male,India,30449,FALSE,TRUE,Labor/Worker,Rural,YouTube,188,Trends,TRUE
57,Male,Pakistan,70290,TRUE,TRUE,Students,Urban,YouTube,48,Entertainment,TRUE
37,Male,Philippines,92954,TRUE,TRUE,Waiting staff,Rural,TikTok,269,Vlogs,TRUE
52,Male,Pakistan,42746,FALSE,FALSE,Students,Rural,TikTok,12,Vlogs,FALSE
42,Female,Mexico,87990,TRUE,TRUE,Waiting staff,Rural,Instagram,73,Jokes/Memes,TRUE
52,Male,United States,78810,TRUE,FALSE,Students,Rural,Instagram,38,Pranks,FALSE
42,Female,United States,35223,FALSE,TRUE,Labor/Worker,Urban,TikTok,20,Life Hacks,TRUE
46,Female,United States,92237,TRUE,FALSE,Teacher,Rural,Instagram,106,ASMR,FALSE
35,Female,Indonesia,22597,FALSE,TRUE,Labor/Worker,Urban,YouTube,212,Jokes/Memes,TRUE
63,Male,Barzil,85677,TRUE,FALSE,Waiting staff,Urban,Facebook,30,Trends,FALSE
35,Male,Indonesia,22659,FALSE,TRUE,Students,Rural,Instagram,48,Jokes/Memes,TRUE
19,Female,India,94567,TRUE,FALSE,Waiting staff,Rural,TikTok,232,Jokes/Memes,FALSE
52,Male,Vietnam,35037,FALSE,TRUE,Labor/Worker,Rural,Instagram,111,Life Hacks,TRUE
33,Female,Mexico,66738,TRUE,FALSE,Engineer,Rural,Instagram,55,Life Hacks,FALSE
58,Female,Philippines,91678,TRUE,TRUE,Engineer,Rural,Instagram,75,Trends,TRUE
53,Male,Pakistan,32109,FALSE,TRUE,Waiting staff,Rural,Facebook,100,Pranks,TRUE
50,Female,Germany,42010,FALSE,TRUE,Students,Rural,YouTube,173,Entertainment,TRUE
21,Female,Philippines,28787,FALSE,TRUE,Waiting staff,Rural,TikTok,120,Vlogs,TRUE
50,Male,Barzil,28472,FALSE,FALSE,Engineer,Urban,Facebook,132,Vlogs,FALSE
31,Male,Indonesia,43383,FALSE,TRUE,Cashier,Rural,TikTok,202,Jokes/Memes,TRUE
38,Other,Indonesia,81709,TRUE,FALSE,Waiting staff,Rural,TikTok,108,Gaming,FALSE
37,Other,United States,89785,TRUE,TRUE,Artist,Rural,TikTok,168,Jokes/Memes,TRUE
25,Male,Indonesia,54518,TRUE,FALSE,Waiting staff,Rural,Facebook,112,Life Hacks,FALSE
24,Female,Vietnam,73909,TRUE,TRUE,driver,Rural,YouTube,290,Entertainment,TRUE
20,Male,Japan,38351,FALSE,FALSE,Students,Rural,TikTok,52,Trends,FALSE
34,Female,Pakistan,89624,TRUE,TRUE,Engineer,Rural,YouTube,93,Jokes/Memes,TRUE
50,Male,Japan,73330,TRUE,FALSE,Manager,Rural,YouTube,200,Jokes/Memes,FALSE
29,Female,Pakistan,35282,FALSE,TRUE,driver,Rural,Instagram,60,Trends,TRUE
39,Female,Mexico,41778,FALSE,FALSE,Manager,Rural,Facebook,219,Trends,FALSE
39,Other,Pakistan,44264,FALSE,TRUE,Students,Urban,Facebook,135,Jokes/Memes,TRUE
63,Female,Japan,79675,TRUE,FALSE,Waiting staff,Rural,Instagram,78,Jokes/Memes,FALSE
47,Male,Philippines,25075,FALSE,TRUE,Engineer,Rural,Instagram,274,Entertainment,TRUE
55,Female,Pakistan,95948,TRUE,FALSE,Teacher,Rural,YouTube,267,Gaming,FALSE
55,Other,Mexico,68454,TRUE,TRUE,driver,Rural,TikTok,197,Jokes/Memes,TRUE
62,Male,Mexico,48365,FALSE,FALSE,Students,Rural,Facebook,239,Entertainment,FALSE
25,Other,India,92766,TRUE,TRUE,Waiting staff,Rural,TikTok,198,Entertainment,TRUE
44,Male,Pakistan,68200,TRUE,TRUE,driver,Urban,TikTok,19,Entertainment,TRUE
44,Female,Germany,31002,FALSE,TRUE,Students,Rural,Instagram,123,Life Hacks,TRUE
51,Male,United States,33947,FALSE,TRUE,Engineer,Rural,TikTok,85,Gaming,TRUE
38,Male,United States,99222,TRUE,FALSE,Artist,Urban,YouTube,173,Comedy,FALSE
47,Other,India,98610,TRUE,TRUE,driver,Urban,Instagram,94,Trends,TRUE
50,Male,Mexico,72142,TRUE,FALSE,Manager,Urban,TikTok,58,ASMR,FALSE
45,Female,India,76307,TRUE,TRUE,Manager,Urban,Instagram,186,Gaming,TRUE
64,Male,United States,24493,FALSE,FALSE,Students,Rural,YouTube,227,Gaming,FALSE
50,Male,Vietnam,70085,TRUE,TRUE,Manager,Rural,YouTube,198,ASMR,TRUE
22,Male,Barzil,54228,TRUE,FALSE,Students,Rural,TikTok,239,Gaming,FALSE
36,Other,Pakistan,99676,TRUE,TRUE,Students,Rural,Instagram,264,Jokes/Memes,TRUE
21,Other,Japan,71875,TRUE,FALSE,driver,Rural,TikTok,245,Jokes/Memes,FALSE
52,Male,India,51655,TRUE,TRUE,Waiting staff,Rural,TikTok,35,Life Hacks,TRUE
34,Other,India,63472,TRUE,FALSE,Students,Rural,Instagram,81,Vlogs,FALSE
61,Female,United States,69437,TRUE,TRUE,Waiting staff,Rural,TikTok,270,ASMR,TRUE
45,Female,Pakistan,69416,TRUE,FALSE,driver,Rural,YouTube,263,ASMR,FALSE
47,Female,India,79711,TRUE,TRUE,Teacher,Rural,Instagram,280,Trends,TRUE
46,Male,Barzil,26816,FALSE,FALSE,Students,Urban,Instagram,132,ASMR,FALSE
63,Male,India,97175,TRUE,TRUE,Labor/Worker,Rural,Instagram,153,Gaming,TRUE
23,Female,United States,84307,TRUE,FALSE,Students,Rural,Instagram,266,Life Hacks,FALSE
52,Male,India,66733,TRUE,TRUE,Labor/Worker,Rural,TikTok,153,Gaming,TRUE
58,Male,India,31240,FALSE,TRUE,Engineer,Rural,TikTok,268,Life Hacks,TRUE
54,Other,Vietnam,91363,TRUE,TRUE,Students,Urban,YouTube,56,Entertainment,TRUE
41,Female,India,52762,TRUE,TRUE,Cashier,Urban,Facebook,22,ASMR,TRUE
46,Male,India,28259,FALSE,FALSE,driver,Urban,Facebook,217,Vlogs,FALSE
63,Female,Barzil,70139,TRUE,TRUE,Labor/Worker,Rural,YouTube,244,Entertainment,TRUE
48,Female,United States,34849,FALSE,FALSE,Engineer,Rural,Facebook,158,ASMR,FALSE
52,Male,India,74869,TRUE,TRUE,Students,Rural,YouTube,164,Life Hacks,TRUE
50,Other,Indonesia,83095,TRUE,FALSE,Waiting staff,Urban,TikTok,175,Comedy,FALSE
38,Female,United States,90910,TRUE,TRUE,Engineer,Rural,Instagram,99,Life Hacks,TRUE
49,Male,India,43567,FALSE,FALSE,Labor/Worker,Rural,Instagram,195,Life Hacks,FALSE
40,Male,Vietnam,55292,TRUE,TRUE,driver,Rural,TikTok,183,Comedy,TRUE
50,Male,Barzil,94813,TRUE,FALSE,Students,Rural,Instagram,226,Entertainment,FALSE
20,Other,Germany,71631,TRUE,TRUE,Manager,Rural,Instagram,273,Jokes/Memes,TRUE
35,Female,Pakistan,29885,FALSE,FALSE,Waiting staff,Rural,Facebook,106,Trends,FALSE
42,Female,Japan,79659,TRUE,TRUE,Teacher,Rural,TikTok,126,Trends,TRUE
59,Male,Philippines,74306,TRUE,FALSE,Labor/Worker,Rural,Facebook,208,Jokes/Memes,FALSE
48,Female,Philippines,86314,TRUE,TRUE,Labor/Worker,Rural,Facebook,30,Entertainment,TRUE
20,Other,Japan,85087,TRUE,FALSE,Waiting staff,Rural,Instagram,209,Pranks,FALSE
57,Male,Japan,49165,FALSE,TRUE,Labor/Worker,Rural,Instagram,257,Trends,TRUE
63,Male,India,78929,TRUE,FALSE,Waiting staff,Rural,TikTok,285,Jokes/Memes,FALSE
41,Male,India,87028,TRUE,TRUE,Students,Rural,Instagram,273,Jokes/Memes,TRUE
49,Other,Barzil,69812,TRUE,TRUE,Students,Rural,Instagram,67,Trends,TRUE
64,Male,United States,70500,TRUE,TRUE,Cashier,Rural,TikTok,40,Jokes/Memes,TRUE
39,Female,India,99151,TRUE,TRUE,Teacher,Urban,Instagram,258,Jokes/Memes,TRUE
40,Female,India,78643,TRUE,FALSE,Engineer,Urban,Facebook,102,Trends,FALSE
19,Male,Pakistan,64900,TRUE,TRUE,Cashier,Urban,TikTok,274,Entertainment,TRUE
44,Male,Indonesia,62946,TRUE,FALSE,Students,Urban,Instagram,280,Gaming,FALSE
59,Male,Philippines,27851,FALSE,TRUE,Students,Rural,YouTube,103,Jokes/Memes,TRUE
19,Female,Barzil,36288,FALSE,FALSE,Students,Urban,TikTok,163,Jokes/Memes,FALSE
43,Male,Japan,92692,TRUE,TRUE,Labor/Worker,Rural,TikTok,294,Gaming,TRUE
34,Male,India,87580,TRUE,FALSE,driver,Rural,YouTube,89,Gaming,FALSE
57,Female,Germany,27368,FALSE,TRUE,Labor/Worker,Rural,Instagram,93,Life Hacks,TRUE
50,Male,Barzil,66403,TRUE,FALSE,Students,Urban,Instagram,46,Entertainment,FALSE
26,Female,Mexico,29168,FALSE,TRUE,Waiting staff,Urban,TikTok,241,Pranks,TRUE
60,Other,Vietnam,69879,TRUE,FALSE,Teacher,Urban,TikTok,102,Gaming,FALSE
56,Female,India,79871,TRUE,TRUE,Waiting staff,Rural,Instagram,111,Jokes/Memes,TRUE
46,Other,United States,52174,TRUE,FALSE,Labor/Worker,Rural,Instagram,175,Pranks,FALSE
59,Female,Pakistan,26581,FALSE,TRUE,Students,Urban,Facebook,168,Pranks,TRUE
43,Female,Indonesia,91853,TRUE,FALSE,driver,Rural,TikTok,23,Jokes/Memes,FALSE
52,Other,Pakistan,84046,TRUE,TRUE,Waiting staff,Urban,TikTok,234,Jokes/Memes,TRUE
42,Male,Barzil,69678,TRUE,FALSE,Students,Rural,YouTube,82,Gaming,FALSE
41,Male,Philippines,46649,FALSE,TRUE,Labor/Worker,Urban,Facebook,258,Gaming,TRUE
30,Male,United States,34567,FALSE,TRUE,Labor/Worker,Rural,Instagram,100,Jokes/Memes,TRUE
24,Male,Mexico,81944,TRUE,TRUE,Students,Urban,Facebook,225,ASMR,TRUE
53,Female,United States,98002,TRUE,TRUE,Students,Rural,Instagram,99,ASMR,TRUE
62,Male,India,48803,FALSE,FALSE,Students,Urban,Instagram,38,Trends,FALSE
37,Female,United States,38230,FALSE,TRUE,driver,Rural,Facebook,229,Life Hacks,TRUE
18,Male,India,37862,FALSE,FALSE,Students,Rural,TikTok,224,Entertainment,FALSE
25,Male,Japan,63355,TRUE,TRUE,Manager,Urban,Instagram,230,Gaming,TRUE
63,Male,Mexico,51259,TRUE,FALSE,Labor/Worker,Rural,Facebook,51,ASMR,FALSE
33,Male,India,50795,TRUE,TRUE,Labor/Worker,Rural,YouTube,144,Life Hacks,TRUE
31,Female,Germany,28770,FALSE,FALSE,Labor/Worker,Urban,Facebook,51,Pranks,FALSE
29,Male,Indonesia,31093,FALSE,TRUE,Labor/Worker,Urban,YouTube,173,Jokes/Memes,TRUE
40,Male,Japan,66571,TRUE,FALSE,Students,Rural,Instagram,292,Vlogs,FALSE
32,Male,Barzil,20193,FALSE,TRUE,Manager,Rural,Facebook,67,Jokes/Memes,TRUE
45,Other,United States,37569,FALSE,FALSE,driver,Urban,Facebook,34,Pranks,FALSE
51,Female,Philippines,31190,FALSE,TRUE,Waiting staff,Rural,YouTube,82,Life Hacks,TRUE
19,Other,India,82824,TRUE,FALSE,Labor/Worker,Rural,Facebook,138,Entertainment,FALSE
49,Other,Vietnam,62752,TRUE,TRUE,Waiting staff,Rural,Facebook,96,Vlogs,TRUE
40,Male,India,52327,TRUE,FALSE,Labor/Worker,Rural,Instagram,162,Gaming,FALSE
39,Male,Vietnam,62070,TRUE,TRUE,Students,Rural,Facebook,191,Vlogs,TRUE
42,Female,United States,60197,TRUE,FALSE,driver,Rural,TikTok,134,Life Hacks,FALSE
39,Female,Vietnam,22261,FALSE,TRUE,Students,Urban,YouTube,76,Gaming,TRUE
39,Female,Germany,46512,FALSE,TRUE,Engineer,Rural,Facebook,15,Vlogs,TRUE
59,Male,United States,26716,FALSE,TRUE,Students,Urban,YouTube,134,Entertainment,TRUE
23,Male,Mexico,48933,FALSE,TRUE,Engineer,Rural,YouTube,62,Pranks,TRUE
32,Female,Indonesia,24378,FALSE,FALSE,driver,Rural,YouTube,75,Life Hacks,FALSE
60,Male,Mexico,60583,TRUE,TRUE,Cashier,Rural,Facebook,91,Entertainment,TRUE
54,Male,India,49033,FALSE,FALSE,driver,Rural,Facebook,96,Entertainment,FALSE
50,Other,India,44000,FALSE,TRUE,Engineer,Urban,YouTube,11,Jokes/Memes,TRUE
25,Male,Indonesia,95868,TRUE,FALSE,Waiting staff,Rural,TikTok,213,Jokes/Memes,FALSE
61,Male,Vietnam,62604,TRUE,TRUE,Students,Urban,YouTube,159,Vlogs,TRUE
61,Male,Philippines,88336,TRUE,FALSE,Waiting staff,Rural,TikTok,112,Trends,FALSE
22,Female,Pakistan,93869,TRUE,TRUE,Students,Urban,YouTube,33,ASMR,TRUE
56,Male,India,25410,FALSE,FALSE,Waiting staff,Rural,Instagram,221,Gaming,FALSE
21,Female,Indonesia,76044,TRUE,TRUE,Manager,Rural,YouTube,74,ASMR,TRUE
23,Female,Indonesia,83315,TRUE,FALSE,Students,Urban,YouTube,218,ASMR,FALSE
62,Male,India,91344,TRUE,TRUE,Teacher,Rural,Facebook,260,Jokes/Memes,TRUE
49,Male,Barzil,26796,FALSE,FALSE,Labor/Worker,Urban,TikTok,126,Life Hacks,FALSE
47,Male,Vietnam,74245,TRUE,TRUE,Students,Urban,Instagram,125,Vlogs,TRUE
64,Male,India,63056,TRUE,FALSE,Students,Urban,TikTok,246,Entertainment,FALSE
52,Male,Indonesia,37709,FALSE,TRUE,Engineer,Rural,Instagram,114,Gaming,TRUE
57,Male,India,78557,TRUE,FALSE,Waiting staff,Rural,YouTube,268,Pranks,FALSE
33,Male,India,37543,FALSE,TRUE,Waiting staff,Rural,Facebook,55,Jokes/Memes,TRUE
30,Male,India,57418,TRUE,TRUE,Waiting staff,Rural,Facebook,225,Comedy,TRUE
59,Female,Barzil,36724,FALSE,TRUE,Artist,Urban,TikTok,33,Pranks,TRUE
47,Male,United States,23828,FALSE,TRUE,Waiting staff,Rural,Facebook,44,ASMR,TRUE
36,Male,Mexico,37087,FALSE,FALSE,Engineer,Rural,TikTok,33,Trends,FALSE
34,Male,Indonesia,32605,FALSE,TRUE,Teacher,Urban,TikTok,37,Vlogs,TRUE
36,Female,Vietnam,51337,TRUE,FALSE,Artist,Rural,Instagram,25,Pranks,FALSE
45,Male,Pakistan,25482,FALSE,TRUE,Labor/Worker,Rural,TikTok,68,Trends,TRUE
43,Female,United States,85333,TRUE,FALSE,Students,Rural,Instagram,252,Comedy,FALSE
54,Female,United States,70952,TRUE,TRUE,Waiting staff,Urban,Facebook,216,Gaming,TRUE
43,Male,Philippines,25463,FALSE,FALSE,Students,Rural,TikTok,280,Comedy,FALSE
40,Other,Philippines,90448,TRUE,TRUE,Engineer,Rural,TikTok,258,Life Hacks,TRUE
26,Other,Japan,24648,FALSE,FALSE,Students,Rural,YouTube,276,Vlogs,FALSE
29,Female,Barzil,53623,TRUE,TRUE,Labor/Worker,Urban,TikTok,202,Trends,TRUE
18,Female,Pakistan,79156,TRUE,FALSE,Students,Urban,TikTok,227,Pranks,FALSE
18,Male,Japan,55634,TRUE,TRUE,Students,Rural,YouTube,124,ASMR,TRUE
64,Male,Barzil,64602,TRUE,FALSE,Cashier,Rural,YouTube,77,Jokes/Memes,FALSE
51,Female,Vietnam,69334,TRUE,TRUE,Cashier,Urban,Facebook,84,Entertainment,TRUE
49,Male,India,88648,TRUE,FALSE,Labor/Worker,Rural,TikTok,112,Vlogs,FALSE
42,Male,Vietnam,42054,FALSE,TRUE,driver,Rural,Facebook,187,Pranks,TRUE
57,Male,Mexico,90028,TRUE,FALSE,Manager,Rural,Facebook,224,Life Hacks,FALSE
62,Male,United States,42207,FALSE,TRUE,Students,Rural,YouTube,48,Life Hacks,TRUE
18,Male,India,41386,FALSE,TRUE,Waiting staff,Rural,Instagram,268,Life Hacks,TRUE
33,Female,Philippines,79518,TRUE,TRUE,Labor/Worker,Rural,Facebook,213,Gaming,TRUE
56,Male,Barzil,72781,TRUE,TRUE,Engineer,Rural,Instagram,16,Vlogs,TRUE
22,Male,Vietnam,72780,TRUE,FALSE,Labor/Worker,Urban,TikTok,58,Trends,FALSE
39,Female,India,81440,TRUE,TRUE,driver,Urban,YouTube,35,Entertainment,TRUE
46,Other,Mexico,64199,TRUE,FALSE,driver,Urban,TikTok,170,Jokes/Memes,FALSE
20,Male,Indonesia,81035,TRUE,TRUE,Waiting staff,Rural,TikTok,185,Entertainment,TRUE
29,Male,United States,28210,FALSE,FALSE,driver,Urban,YouTube,88,Entertainment,FALSE
43,Male,United States,64363,TRUE,TRUE,Manager,Rural,TikTok,11,Vlogs,TRUE
33,Male,Mexico,98279,TRUE,FALSE,driver,Rural,YouTube,141,Entertainment,FALSE
54,Other,Mexico,80348,TRUE,TRUE,Labor/Worker,Rural,Instagram,285,Trends,TRUE
39,Other,Vietnam,75284,TRUE,FALSE,Labor/Worker,Urban,TikTok,126,Jokes/Memes,FALSE
46,Male,India,92124,TRUE,TRUE,Waiting staff,Rural,YouTube,173,Trends,TRUE
31,Female,Japan,88847,TRUE,FALSE,Manager,Rural,Facebook,297,Vlogs,FALSE
45,Male,United States,42432,FALSE,TRUE,Students,Rural,TikTok,37,Entertainment,TRUE
22,Female,United States,84089,TRUE,FALSE,Labor/Worker,Rural,Instagram,10,Vlogs,FALSE
64,Male,Indonesia,75398,TRUE,TRUE,Labor/Worker,Rural,YouTube,197,Life Hacks,TRUE
47,Female,Indonesia,23321,FALSE,FALSE,Labor/Worker,Rural,TikTok,65,Jokes/Memes,FALSE
63,Male,India,57383,TRUE,TRUE,Engineer,Rural,TikTok,44,Life Hacks,TRUE
22,Male,Mexico,98682,TRUE,FALSE,Labor/Worker,Urban,TikTok,121,Jokes/Memes,FALSE
29,Female,Barzil,99190,TRUE,TRUE,Waiting staff,Rural,Instagram,295,ASMR,TRUE
33,Female,India,72893,TRUE,TRUE,driver,Rural,YouTube,45,Trends,TRUE
43,Male,United States,55820,TRUE,TRUE,Students,Rural,Facebook,226,Vlogs,TRUE
43,Female,Vietnam,86262,TRUE,TRUE,Manager,Rural,Facebook,89,Life Hacks,TRUE
38,Male,Indonesia,23760,FALSE,FALSE,Students,Rural,Facebook,92,Vlogs,FALSE
56,Other,United States,42190,FALSE,TRUE,driver,Urban,YouTube,74,Jokes/Memes,TRUE
53,Female,India,87411,TRUE,FALSE,Students,Urban,Facebook,137,Gaming,FALSE
50,Other,Philippines,43377,FALSE,TRUE,Labor/Worker,Rural,Instagram,31,Comedy,TRUE
47,Male,United States,66737,TRUE,FALSE,Students,Rural,YouTube,225,Jokes/Memes,FALSE
54,Male,India,89569,TRUE,TRUE,Manager,Rural,TikTok,116,Life Hacks,TRUE
40,Male,Barzil,58211,TRUE,FALSE,Manager,Rural,Instagram,118,Comedy,FALSE
27,Female,India,23744,FALSE,TRUE,driver,Rural,TikTok,190,Life Hacks,TRUE
22,Male,Philippines,44995,FALSE,FALSE,driver,Urban,Facebook,173,Gaming,FALSE
53,Male,India,36977,FALSE,TRUE,Students,Urban,Instagram,77,Entertainment,TRUE
51,Female,Japan,54542,TRUE,FALSE,driver,Urban,YouTube,189,Trends,FALSE
48,Other,United States,30651,FALSE,TRUE,Labor/Worker,Rural,Instagram,190,Pranks,TRUE
27,Female,India,98931,TRUE,FALSE,Labor/Worker,Rural,TikTok,178,Jokes/Memes,FALSE
36,Male,Germany,36715,FALSE,TRUE,Waiting staff,Urban,YouTube,31,Life Hacks,TRUE
49,Female,Japan,64409,TRUE,FALSE,Artist,Rural,Instagram,75,Comedy,FALSE
18,Male,Japan,44306,FALSE,TRUE,Waiting staff,Rural,Instagram,30,Trends,TRUE
22,Female,India,39086,FALSE,FALSE,Labor/Worker,Rural,Instagram,109,Trends,FALSE
62,Male,Germany,34376,FALSE,TRUE,Waiting staff,Urban,Instagram,112,Life Hacks,TRUE
21,Other,India,81350,TRUE,TRUE,Labor/Worker,Rural,YouTube,56,Life Hacks,TRUE
33,Male,United States,91425,TRUE,TRUE,Waiting staff,Urban,TikTok,48,Gaming,TRUE
41,Female,Barzil,56636,TRUE,TRUE,Students,Rural,Instagram,294,Pranks,TRUE
33,Female,Pakistan,71649,TRUE,FALSE,driver,Urban,YouTube,99,Vlogs,FALSE
19,Male,United States,54610,TRUE,TRUE,Students,Rural,TikTok,94,Jokes/Memes,TRUE
45,Female,India,30058,FALSE,FALSE,Students,Rural,Instagram,282,ASMR,FALSE
49,Male,Barzil,94637,TRUE,TRUE,Students,Rural,TikTok,197,Entertainment,TRUE
44,Male,Indonesia,98033,TRUE,FALSE,Labor/Worker,Rural,TikTok,168,Gaming,FALSE
37,Male,India,90194,TRUE,TRUE,Waiting staff,Rural,YouTube,252,Jokes/Memes,TRUE
41,Female,Indonesia,96917,TRUE,FALSE,Engineer,Urban,TikTok,82,Vlogs,FALSE
29,Female,Germany,84200,TRUE,TRUE,driver,Urban,YouTube,58,Entertainment,TRUE
52,Male,Indonesia,66619,TRUE,FALSE,Artist,Rural,Instagram,110,Gaming,FALSE
50,Female,Vietnam,37154,FALSE,TRUE,Waiting staff,Rural,TikTok,11,Jokes/Memes,TRUE
50,Male,United States,39539,FALSE,FALSE,driver,Urban,TikTok,253,Vlogs,FALSE
60,Other,United States,80058,TRUE,TRUE,Students,Rural,Facebook,185,Vlogs,TRUE
54,Male,Pakistan,82068,TRUE,FALSE,Students,Urban,Instagram,247,Jokes/Memes,FALSE
29,Male,Vietnam,97313,TRUE,TRUE,Students,Rural,Instagram,68,Life Hacks,TRUE
20,Female,India,50373,TRUE,FALSE,Waiting staff,Urban,Facebook,108,ASMR,FALSE
18,Male,Pakistan,53154,TRUE,TRUE,Manager,Rural,Facebook,11,Jokes/Memes,TRUE
50,Male,Indonesia,26031,FALSE,FALSE,Labor/Worker,Rural,YouTube,252,Jokes/Memes,FALSE
57,Female,India,91975,TRUE,TRUE,Students,Rural,YouTube,220,Comedy,TRUE
27,Female,Philippines,42785,FALSE,TRUE,Labor/Worker,Rural,TikTok,132,Vlogs,TRUE
60,Other,India,98928,TRUE,TRUE,Labor/Worker,Rural,TikTok,238,Pranks,TRUE
61,Female,Mexico,48669,FALSE,TRUE,Labor/Worker,Rural,TikTok,91,Jokes/Memes,TRUE
46,Male,Pakistan,22282,FALSE,FALSE,Students,Urban,TikTok,153,Gaming,FALSE
30,Female,Indonesia,54624,TRUE,TRUE,Engineer,Rural,YouTube,149,ASMR,TRUE
29,Female,India,68438,TRUE,FALSE,Labor/Worker,Urban,Instagram,38,Vlogs,FALSE
48,Other,Barzil,87534,TRUE,TRUE,Labor/Worker,Rural,TikTok,279,Comedy,TRUE
63,Male,United States,51705,TRUE,FALSE,Students,Rural,Instagram,256,Entertainment,FALSE
19,Male,Japan,58244,TRUE,TRUE,Waiting staff,Urban,TikTok,21,Vlogs,TRUE
52,Male,United States,94964,TRUE,FALSE,Waiting staff,Urban,Facebook,115,Trends,FALSE
40,Female,India,57437,TRUE,TRUE,Students,Rural,TikTok,41,Gaming,TRUE
34,Male,India,97872,TRUE,FALSE,Students,Urban,TikTok,83,Life Hacks,FALSE
43,Male,Germany,94878,TRUE,TRUE,Engineer,Rural,TikTok,180,Vlogs,TRUE
25,Other,India,92982,TRUE,FALSE,Labor/Worker,Rural,YouTube,78,Life Hacks,FALSE
46,Female,India,70583,TRUE,TRUE,Waiting staff,Urban,Facebook,146,Trends,TRUE
43,Male,India,58392,TRUE,FALSE,Teacher,Rural,TikTok,109,Jokes/Memes,FALSE
27,Other,United States,27461,FALSE,TRUE,Artist,Urban,TikTok,155,Jokes/Memes,TRUE
43,Male,India,30516,FALSE,FALSE,Waiting staff,Rural,Instagram,18,Life Hacks,FALSE
51,Male,Pakistan,99285,TRUE,TRUE,Students,Rural,Facebook,71,Life Hacks,TRUE
58,Other,Japan,37514,FALSE,FALSE,Engineer,Rural,TikTok,194,Trends,FALSE
24,Male,India,56268,TRUE,TRUE,Artist,Urban,Instagram,38,Comedy,TRUE
21,Female,Japan,56788,TRUE,TRUE,Waiting staff,Rural,Instagram,123,Gaming,TRUE
62,Male,Philippines,95749,TRUE,TRUE,Artist,Rural,YouTube,152,Entertainment,TRUE
28,Female,Indonesia,81049,TRUE,TRUE,Cashier,Rural,Instagram,129,Pranks,TRUE
46,Male,India,82493,TRUE,FALSE,Labor/Worker,Rural,TikTok,179,Jokes/Memes,FALSE
53,Female,United States,56027,TRUE,TRUE,Students,Rural,YouTube,166,Vlogs,TRUE
42,Other,India,62849,TRUE,FALSE,Cashier,Rural,YouTube,269,Gaming,FALSE
38,Male,Indonesia,37858,FALSE,TRUE,Manager,Rural,TikTok,91,Life Hacks,TRUE
53,Female,Philippines,99003,TRUE,FALSE,driver,Rural,Facebook,251,Trends,FALSE
27,Male,United States,72395,TRUE,TRUE,driver,Rural,Instagram,181,ASMR,TRUE
54,Male,India,59758,TRUE,FALSE,Students,Rural,YouTube,240,Life Hacks,FALSE
26,Other,India,74312,TRUE,TRUE,Artist,Rural,Facebook,217,Gaming,TRUE
41,Male,Japan,88670,TRUE,FALSE,Students,Urban,TikTok,84,Trends,FALSE
52,Male,Indonesia,35434,FALSE,TRUE,Waiting staff,Rural,Instagram,279,Trends,TRUE
52,Male,Japan,84047,TRUE,FALSE,Waiting staff,Urban,Instagram,123,Trends,FALSE
53,Other,Philippines,67775,TRUE,TRUE,Students,Rural,YouTube,71,Jokes/Memes,TRUE
35,Other,United States,95769,TRUE,FALSE,Manager,Rural,Instagram,111,Pranks,FALSE
56,Female,India,86677,TRUE,TRUE,Labor/Worker,Rural,Instagram,219,Jokes/Memes,TRUE
49,Female,Mexico,65734,TRUE,FALSE,Waiting staff,Urban,Instagram,264,Comedy,FALSE
41,Female,United States,60603,TRUE,TRUE,Students,Rural,Instagram,29,ASMR,TRUE
40,Other,India,96708,TRUE,FALSE,Manager,Rural,TikTok,67,Life Hacks,FALSE
49,Male,United States,88803,TRUE,TRUE,Cashier,Urban,Facebook,121,Vlogs,TRUE
54,Male,Japan,59332,TRUE,TRUE,driver,Rural,TikTok,205,Vlogs,TRUE
29,Male,United States,41312,FALSE,TRUE,Labor/Worker,Rural,TikTok,101,ASMR,TRUE
30,Male,Philippines,64179,TRUE,TRUE,Engineer,Rural,YouTube,61,Comedy,TRUE
40,Other,Vietnam,91442,TRUE,FALSE,Teacher,Rural,Instagram,17,Gaming,FALSE
42,Male,Vietnam,60379,TRUE,TRUE,Students,Rural,TikTok,107,Entertainment,TRUE
52,Male,Vietnam,37297,FALSE,FALSE,Cashier,Urban,Instagram,245,Jokes/Memes,FALSE
58,Male,Philippines,22011,FALSE,TRUE,Manager,Urban,TikTok,78,Jokes/Memes,TRUE
47,Female,United States,64014,TRUE,FALSE,Labor/Worker,Rural,TikTok,54,Entertainment,FALSE
34,Female,India,31738,FALSE,TRUE,Students,Urban,YouTube,146,Pranks,TRUE
37,Male,Philippines,67498,TRUE,FALSE,Cashier,Urban,Facebook,243,Pranks,FALSE
42,Female,Vietnam,31120,FALSE,TRUE,Waiting staff,Rural,Facebook,41,Pranks,TRUE
39,Male,Indonesia,28767,FALSE,FALSE,Waiting staff,Rural,TikTok,298,Gaming,FALSE
30,Male,Philippines,42852,FALSE,TRUE,driver,Rural,YouTube,135,Trends,TRUE
